frequency	raw
684.1	-1.13
690.94	-1.11
697.85	-1.09
704.83	-1.07
711.87	-1.05
718.99	-1.03
726.18	-1.01
733.44	-0.99
740.78	-0.96
748.19	-0.94
755.67	-0.92
763.23	-0.9
770.86	-0.88
778.57	-0.86
786.35	-0.84
794.22	-0.82
802.16	-0.79
810.18	-0.76
818.28	-0.72
826.46	-0.69
834.73	-0.65
843.08	-0.62
851.51	-0.58
860.02	-0.54
868.62	-0.51
877.31	-0.47
886.08	-0.44
894.94	-0.4
903.89	-0.37
912.93	-0.33
922.06	-0.29
931.28	-0.26
940.59	-0.22
950	-0.19
959.5	-0.15
969.09	-0.12
978.78	-0.08
988.57	-0.04
998.46	-0.01
1008.44	0.05
1018.53	0.11
1028.71	0.17
1039	0.24
1049.39	0.3
1059.88	0.36
1070.48	0.42
1081.19	0.49
1092	0.55
1102.92	0.61
1113.95	0.67
1125.09	0.74
1136.34	0.8
1147.7	0.86
1159.18	0.92
1170.77	0.99
1182.48	1.05
1194.3	1.11
1206.25	1.17
1218.31	1.24
1230.49	1.3
1242.8	1.36
1255.22	1.43
1267.78	1.52
1280.45	1.61
1293.26	1.7
1306.19	1.79
1319.25	1.88
1332.45	1.97
1345.77	2.05
1359.23	2.14
1372.82	2.23
1386.55	2.32
1400.41	2.41
1414.42	2.5
1428.56	2.59
1442.85	2.68
1457.28	2.76
1471.85	2.85
1486.57	2.94
1501.43	3.03
1516.45	3.12
1531.61	3.21
1546.93	3.3
1562.4	3.38
1578.02	3.47
1593.8	3.56
1609.74	3.69
1625.84	3.83
1642.1	3.98
1658.52	4.13
1675.1	4.27
1691.85	4.42
1708.77	4.57
1725.86	4.72
1743.12	4.86
1760.55	5.01
1778.15	5.16
1795.94	5.3
1813.9	5.45
1832.03	5.6
1850.36	5.75
1868.86	5.89
1887.55	6.04
1906.42	6.19
1925.49	6.33
1944.74	6.48
1964.19	6.63
1983.83	6.78
2003.67	6.93
2023.71	7.12
2043.94	7.32
2064.38	7.51
2085.03	7.7
2105.88	7.89
2126.94	8.08
2148.2	8.27
2169.69	8.47
2191.38	8.66
2213.3	8.85
2235.43	9.04
2257.78	9.23
2280.36	9.42
2303.17	9.62
2326.2	9.81
2349.46	10
2372.95	10.19
2396.68	10.38
2420.65	10.57
2444.86	10.77
2469.31	10.96
2494	11.15
2518.94	11.21
2544.13	11.23
2569.57	11.24
2595.27	11.26
2621.22	11.28
2647.43	11.3
2673.9	11.31
2700.64	11.33
2727.65	11.35
2754.93	11.36
2782.48	11.38
2810.3	11.4
2838.4	11.42
2866.79	11.43
2895.46	11.45
2924.41	11.47
2953.65	11.49
2983.19	11.5
3013.02	11.52
3043.15	11.54
3073.58	11.55
3104.32	11.57
3135.36	11.59
3166.72	11.53
3198.38	11.42
3230.37	11.3
3262.67	11.18
3295.3	11.07
3328.25	10.95
3361.53	10.83
3395.15	10.72
3429.1	10.6
3463.39	10.48
3498.03	10.37
3533.01	10.25
3568.34	10.13
3604.02	10.02
3640.06	9.9
3676.46	9.79
3713.22	9.67
3750.36	9.55
3787.86	9.44
3825.74	9.32
3864	9.2
3902.64	9.09
3941.66	8.97
3981.08	8.85
4020.89	8.74
4061.1	8.64
4101.71	8.54
4142.73	8.44
4184.15	8.33
4226	8.23
4268.26	8.13
4310.94	8.02
4354.05	7.92
4397.59	7.82
4441.56	7.72
4485.98	7.61
4530.84	7.51
4576.15	7.41
4621.91	7.31
4668.13	7.2
4714.81	7.1
4761.96	7
4809.58	6.9
4857.67	6.79
4906.25	6.69
4955.31	6.59
5004.87	6.49
5054.91	6.44
5105.46	6.39
5156.52	6.34
5208.08	6.28
5260.16	6.23
5312.77	6.18
5365.89	6.13
5419.55	6.08
5473.75	6.03
5528.49	5.97
5583.77	5.92
5639.61	5.87
5696	5.82
5752.96	5.77
5810.49	5.72
5868.6	5.66
5927.28	5.61
5986.56	5.56
6046.42	5.51
6106.89	5.46
6167.96	5.41
6229.64	5.35
6291.93	5.3
6354.85	5.3
6418.4	5.3
6482.58	5.31
6547.41	5.31
6612.88	5.32
6679.01	5.32
6745.8	5.33
6813.26	5.33
6881.39	5.33
6950.21	5.34
7019.71	5.34
7089.91	5.35
7160.81	5.35
7232.41	5.35
7304.74	5.36
7377.79	5.36
7451.56	5.37
7526.08	5.37
7601.34	5.38
7677.35	5.38
7754.13	5.38
7831.67	5.39
7909.98	5.39
7989.08	5.4
8068.98	5.29
8149.67	5.17
8231.16	5.05
8313.47	4.93
8396.61	4.81
8480.57	4.69
8565.38	4.57
8651.03	4.45
8737.54	4.33
8824.92	4.21
8913.17	4.09
9002.3	3.97
9092.32	3.85
9183.25	3.73
9275.08	3.61
9367.83	3.49
9461.51	3.37
9556.12	3.25
9651.68	3.13
9748.2	3.01
9845.68	2.88
9944.14	2.76
10043.58	2.64
10144.02	2.5
10245.46	2.37
10347.91	2.24
10451.39	2.1
10555.91	1.97
10661.46	1.84
10768.08	1.7
10875.76	1.57
10984.52	1.43
11094.36	1.3
11205.31	1.17
11317.36	1.03
11430.53	0.9
11544.84	0.77
11660.29	0.63
11776.89	0.5
11894.66	0.36
12013.6	0.23
12133.74	0.1
12255.08	-0.04
12377.63	-0.17
12501.41	-0.3
12626.42	-0.43
12752.68	-0.55
12880.21	-0.68
13009.01	-0.8
13139.1	-0.93
13270.49	-1.05
13403.2	-1.18
13537.23	-1.3
13672.6	-1.43
13809.33	-1.55
13947.42	-1.68
14086.9	-1.8
14227.77	-1.93
14370.04	-2.05
14513.74	-2.18
14658.88	-2.3
14805.47	-2.43
14953.52	-2.55
15103.06	-2.68
15254.09	-2.8
15406.63	-2.93
15560.7	-3.05
15716.3	-3.18
15873.47	-3.3
16032.2	-3.44
16192.52	-3.59
16354.45	-3.75
16517.99	-3.91
16683.17	-4.07
16850.01	-4.22
17018.51	-4.38
17188.69	-4.54
17360.58	-4.7
17534.18	-4.86
17709.53	-5.01
17886.62	-5.17
18065.49	-5.33
18246.14	-5.49
18428.6	-5.65
18612.89	-5.8
18799.02	-5.96
18987.01	-6.12
19176.88	-6.28
19368.65	-6.43
19562.33	-6.59
19757.96	-6.75
19955.54	-6.91
