frequency,raw
794.22,0.3
802.16,0.3
810.18,0.29
818.28,0.28
826.46,0.27
834.73,0.26
843.08,0.25
851.51,0.24
860.02,0.21
868.62,0.18
877.31,0.15
886.08,0.12
894.94,0.09
903.89,0.07
912.93,0.04
922.06,0.02
931.28,0
940.59,-0.02
950,-0.05
959.5,-0.04
969.09,-0.03
978.78,-0.02
988.57,-0.01
998.46,-0.01
1008.44,0.03
1018.53,0.08
1028.71,0.13
1039,0.17
1049.39,0.22
1059.88,0.26
1070.48,0.34
1081.19,0.41
1092,0.48
1102.92,0.55
1113.95,0.63
1125.09,0.7
1136.34,0.77
1147.7,0.84
1159.18,0.91
1170.77,0.98
1182.48,1.04
1194.3,1.08
1206.25,1.12
1218.31,1.16
1230.49,1.2
1242.8,1.24
1255.22,1.27
1267.78,1.29
1280.45,1.3
1293.26,1.32
1306.19,1.34
1319.25,1.35
1332.45,1.37
1345.77,1.38
1359.23,1.39
1372.82,1.4
1386.55,1.41
1400.41,1.43
1414.42,1.49
1428.56,1.55
1442.85,1.61
1457.28,1.67
1471.85,1.73
1486.57,1.79
1501.43,1.86
1516.45,1.99
1531.61,2.13
1546.93,2.27
1562.4,2.4
1578.02,2.54
1593.8,2.67
1609.74,2.8
1625.84,2.92
1642.1,3.04
1658.52,3.16
1675.1,3.28
1691.85,3.4
1708.77,3.48
1725.86,3.53
1743.12,3.58
1760.55,3.63
1778.15,3.68
1795.94,3.73
1813.9,3.8
1832.03,3.87
1850.36,3.93
1868.86,4
1887.55,4.07
1906.42,4.16
1925.49,4.3
1944.74,4.45
1964.19,4.59
1983.83,4.73
2003.67,4.88
2023.71,5.04
2043.94,5.21
2064.38,5.38
2085.03,5.55
2105.88,5.71
2126.94,5.87
2148.2,6.01
2169.69,6.15
2191.38,6.29
2213.3,6.44
2235.43,6.58
2257.78,6.73
2280.36,6.9
2303.17,7.06
2326.2,7.22
2349.46,7.38
2372.95,7.57
2396.68,7.78
2420.65,8
2444.86,8.21
2469.31,8.42
2494,8.63
2518.94,8.8
2544.13,8.96
2569.57,9.12
2595.27,9.28
2621.22,9.43
2647.43,9.59
2673.9,9.72
2700.64,9.85
2727.65,9.98
2754.93,10.11
2782.48,10.24
2810.3,10.35
2838.4,10.43
2866.79,10.5
2895.46,10.58
2924.41,10.65
2953.65,10.73
2983.19,10.8
3013.02,10.8
3043.15,10.7
3073.58,10.6
3104.32,10.49
3135.36,10.39
3166.72,10.32
3198.38,10.26
3230.37,10.21
3262.67,10.16
3295.3,10.1
3328.25,10.05
3361.53,9.97
3395.15,9.83
3429.1,9.7
3463.39,9.57
3498.03,9.43
3533.01,9.3
3568.34,9.19
3604.02,9.12
3640.06,9.04
3676.46,8.96
3713.22,8.88
3750.36,8.8
3787.86,8.69
3825.74,8.58
3864,8.47
3902.64,8.36
3941.66,8.25
3981.08,8.14
4020.89,8.07
4061.1,8.03
4101.71,8
4142.73,7.96
4184.15,7.93
4226,7.89
4268.26,7.82
4310.94,7.7
4354.05,7.58
4397.59,7.46
4441.56,7.34
4485.98,7.21
4530.84,7.18
4576.15,7.19
4621.91,7.19
4668.13,7.2
4714.81,7.21
4761.96,7.19
4809.58,7.1
4857.67,7.01
4906.25,6.91
4955.31,6.82
5004.87,6.73
5054.91,6.7
5105.46,6.66
5156.52,6.62
5208.08,6.59
5260.16,6.55
5312.77,6.51
5365.89,6.47
5419.55,6.43
5473.75,6.38
5528.49,6.34
5583.77,6.3
5639.61,6.21
5696,6.1
5752.96,5.99
5810.49,5.88
5868.6,5.77
5927.28,5.66
5986.56,5.55
6046.42,5.43
6106.89,5.3
6167.96,5.17
6229.64,5.04
6291.93,4.91
6354.85,4.86
6418.4,4.83
6482.58,4.79
6547.41,4.76
6612.88,4.72
6679.01,4.69
6745.8,4.71
6813.26,4.76
6881.39,4.8
6950.21,4.85
7019.71,4.9
7089.91,4.95
7160.81,5.01
7232.41,5.07
7304.74,5.13
7377.79,5.19
7451.56,5.25
7526.08,5.29
7601.34,5.32
7677.35,5.35
7754.13,5.37
7831.67,5.4
7909.98,5.43
7989.08,5.45
8068.98,5.36
8149.67,5.24
8231.16,5.13
8313.47,5.01
8396.61,4.9
8480.57,4.78
8565.38,4.34
8651.03,3.8
8737.54,3.26
8824.92,2.72
8913.17,2.18
9002.3,1.65
9092.32,1.32
9183.25,0.99
9275.08,0.66
9367.83,0.34
9461.51,0.01
9556.12,0.01
9651.68,0.24
9748.2,0.47
9845.68,0.7
9944.14,0.94
10043.58,1.17
10144.02,1.4
10245.46,1.64
10347.91,1.87
10451.39,2.11
10555.91,2.35
10661.46,2.16
10768.08,1.67
10875.76,1.18
10984.52,0.69
11094.36,0.2
11205.31,-0.28
11317.36,-0.57
11430.53,-0.87
11544.84,-1.16
11660.29,-1.45
11776.89,-1.75
11894.66,-1.9
12013.6,-2.02
12133.74,-2.14
12255.08,-2.26
12377.63,-2.39
12501.41,-2.51
12626.42,-2.52
12752.68,-2.54
12880.21,-2.56
13009.01,-2.58
13139.1,-2.6
13270.49,-2.63
13403.2,-2.69
13537.23,-2.74
13672.6,-2.79
13809.33,-2.84
13947.42,-2.9
14086.9,-3.14
14227.77,-3.5
14370.04,-3.86
14513.74,-4.22
14658.88,-4.58
14805.47,-4.94
14953.52,-5.3
15103.06,-5.27
15254.09,-5.06
15406.63,-4.85
15560.7,-4.64
15716.3,-4.43
15873.47,-4.22
16032.2,-4.09
16192.52,-4.28
16354.45,-4.46
16517.99,-4.64
16683.17,-4.83
16850.01,-5.01
17018.51,-5.21
17188.69,-5.57
17360.58,-5.92
17534.18,-6.28
17709.53,-6.63
17886.62,-6.99
18065.49,-7.21
18246.14,-7.19
18428.6,-7.18
18612.89,-7.17
18799.02,-7.15
18987.01,-7.14
19176.88,-7.61
19368.65,-8.12
19562.33,-8.62
19757.96,-9.13
19955.54,-9.64
